Country,Price,Size,Marketplace,Reference,Moy_prix_by_size,Address
Nabeul,500.0,500.0,Tunisie-annonce TN,2815249,1.0,"Tunisie,Nabeul,Hammamet,Hammamet"
Nabeul,150.0,150.0,Tunisie-annonce TN,2815246,1.0,"Tunisie,Nabeul,Hammamet,Hammamet"
Ariana,400.0,80.0,Tunisie-annonce TN,2861744,5.0,"Tunisie,Ariana,Ariana Ville,Borj El Baccouche"
Ariana,450.0,120.0,Tunisie-annonce TN,2861016,3.75,"Tunisie,Ariana,La Soukra,Borj Louzir"
Banlieue Nord,900.0,45.0,Tunisie-annonce TN,2803636,20.0,"Tunisie,Tunis,La Marsa,Cite El Ahmadi"
Sousse,850.0,130.0,Tayara TN,f7b89a57-9627-40f5-932b-35ef5a7df2c2,6.538461538461538,"Sousse, Sousse Jawhara"
Banlieue Nord,1000.0,120.0,Tunisie-annonce TN,2852971,8.333333333333334,"Tunisie,Tunis,La Marsa,Cite El Khalil"
Banlieue Nord,1000.0,170.0,Tunisie-annonce TN,2840229,5.882352941176471,"Tunisie,Tunis,La Marsa,El Aouina"
Banlieue Nord,1800.0,150.0,Tunisie-annonce TN,2645237,12.0,"Tunisie,Tunis,La Marsa,Gammart"
Ariana,350.0,50.0,Tayara TN,13add711-cdfd-4adf-ae8b-f0a065842443,7.0,"Ariana, Ariana"
Nabeul,600.0,76.0,Tunisie-annonce TN,2638137,7.894736842105263,"Tunisie,Nabeul,Nabeul,Cite El Mahrsi 1"
Banlieue Nord,1500.0,130.0,Tunisie-annonce TN,2823259,11.538461538461538,"Tunisie,Tunis,La Marsa,Berge Du Lac"
Ben arous,500.0,75.0,Tayara TN,ccfdb551-9bde-405e-bea8-17586f118fc6,6.666666666666667,"Ben arous, El Mourouj"
Banlieue Nord,500.0,50.0,Tunisie-annonce TN,2861773,10.0,"Tunisie,Tunis,Carthage,Amilcar"
Ariana,360.0,120.0,Tunisie-annonce TN,2861772,3.0,"Tunisie,Ariana,Mnihla,Cite De La Republique"
Banlieue Nord,600.0,95.0,Tunisie-annonce TN,2861770,6.315789473684211,"Tunisie,Tunis,La Marsa,Sidi Daoud"
Monastir,399.0,80.0,Tayara TN,ebdbff2c-bf89-4936-b01c-d2b2a7f1c02b,4.9875,"Monastir, Monastir"
Sfax,650.0,138.0,Tunisie-annonce TN,2859227,4.7101449275362315,"Tunisie,Sfax,Sfax Ville,Sfax El Jadida"
Nabeul,420.0,83.0,Tunisie-annonce TN,2856578,5.0602409638554215,"Tunisie,Nabeul,Hammamet,Chaabet El Mrezga"
Tunis,900.0,140.0,Tayara TN,df9e2313-9027-40b8-84f8-b75a997597ed,6.428571428571429,"Tunis, Centre Ville - Lafayette"
Bizerte,600.0,200.0,Tunisie-annonce TN,2830788,3.0,"Tunisie,Bizerte,Bizerte Nord,Bizerte"
Bizerte,600.0,80.0,Tunisie-annonce TN,2659587,7.5,"Tunisie,Bizerte,Bizerte Nord,Bizerte"
Ariana,100.0,120.0,Tunisie-annonce TN,1135978,0.8333333333333334,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2"
Bizerte,600.0,80.0,Tunisie-annonce TN,2723599,7.5,"Tunisie,Bizerte,Bizerte Nord,Bizerte"
Kef,450.0,999.0,Tayara TN,979dc8ec-ae18-4337-8f41-2018461bfd86,0.45045045045045046,"Le kef, Autres villes"
Bizerte,480.0,65.0,Tunisie-annonce TN,2778227,7.384615384615385,"Tunisie,Bizerte,Bizerte Nord,Bizerte"
Mannouba,620.0,95.0,Tayara TN,3623ecd0-06ce-4d89-85d4-54c5fb0e5f52,6.526315789473684,"La manouba, Manouba Ville"
Ariana,350.0,200.0,Tunisie-annonce TN,2861801,1.75,"Tunisie,Ariana,Raoued,Jaafar 2"
Bardo,600.0,40.0,Tayara TN,08fc779c-5f1a-419e-9be2-71ff62e2f5aa,15.0,"Tunis, Le Bardo"
Nabeul,500.0,80.0,Tunisie-annonce TN,2815349,6.25,"Tunisie,Nabeul,Hammamet,Hammamet"
Tunis,650.0,80.0,Tunisie-annonce TN,2861797,8.125,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan"
Banlieue Nord,520.0,60.0,Tunisie-annonce TN,2801243,8.666666666666666,"Tunisie,Tunis,El Kram,Le Kram Est"
Sousse,390.0,50.0,Tunisie-annonce TN,2839942,7.8,"Tunisie,Sousse,Akouda,Chatt Meriem"
Mannouba,400.0,60.0,Tayara TN,d9d9be67-199f-473d-80b8-756753f57568,6.666666666666667,"La manouba, La manouba"
Ariana,2600.0,270.0,Tunisie-annonce TN,2833102,9.62962962962963,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2"
Mannouba,570.0,55.0,Tayara TN,b69b8f1b-a42e-4296-8afa-6859257ca65c,10.363636363636363,"La manouba, La manouba"
Ariana,400.0,120.0,Tunisie-annonce TN,2861794,3.3333333333333335,"Tunisie,Ariana,La Soukra,Chotrana 1"
Sousse,3000.0,1150.0,Tunisie-annonce TN,2807752,2.608695652173913,"Tunisie,Sousse,Hammam Sousse,Cite Ennarjes 2"
Mannouba,300.0,70.0,Tunisie-annonce TN,2861790,4.285714285714286,"Tunisie,Manouba,Oued Ellil,Cite Militaire"
Ariana,750.0,110.0,Tayara TN,4a6ab72c-0236-4d09-9677-b858121a83a6,6.818181818181818,"Tunis, L'aouina"
Banlieue Nord,3000.0,220.0,Tunisie-annonce TN,2861786,13.636363636363637,"Tunisie,Tunis,La Marsa,Sidi Daoud"
Tunis,350.0,60.0,Tayara TN,ba976b41-3b3e-4e60-ad89-409b0c763713,5.833333333333333,"Tunis, El Omrane supérieur"
Ben arous,700.0,880.0,Tayara TN,05fdb562-6133-452c-b8f8-3a52ff956d28,0.7954545454545454,"Ben arous, Autres villes"
Gabes,200.0,50.0,Tunisie-annonce TN,2851777,4.0,"Tunisie,Gabes,Gabes Sud,Mtorrech"
Ariana,1000.0,100.0,Tayara TN,6d1e9e0f-160f-418f-8ca9-d879dee27a9b,10.0,"Ariana, Chotrana"
Sousse,5000.0,1600.0,Tunisie-annonce TN,1357238,3.125,"Tunisie,Sousse,Hammam Sousse,El Kantaoui"
Monastir,550.0,75.0,Tunisie-annonce TN,2855238,7.333333333333333,"Tunisie,Monastir,Monastir,Monastir"
Banlieue Nord,3500.0,195.0,Tunisie-annonce TN,2822541,17.94871794871795,"Tunisie,Tunis,La Marsa,Marsa Safsaf"
Tunis,350.0,60.0,Tayara TN,9e7b7e0c-3340-4ce0-8efd-ebe6154665af,5.833333333333333,"Tunis, El Omrane supérieur"
Banlieue Nord,4550.0,270.0,Tunisie-annonce TN,2828571,16.85185185185185,"Tunisie,Tunis,La Marsa,Marsa Safsaf"
Banlieue Nord,1150.0,135.0,Tunisie-annonce TN,2853962,8.518518518518519,"Tunisie,Tunis,La Marsa,Sidi Daoud"
Nabeul,190.0,80.0,Tunisie-annonce TN,2851646,2.375,"Tunisie,Nabeul,Kelibia,Kelibia"
Monastir,1000.0,160.0,Tunisie-annonce TN,2856668,6.25,"Tunisie,Monastir,Monastir,Zone Skanes"
Tunis,1200.0,80.0,Tayara TN,8f74ee48-1878-44b6-83bb-a9bcfe61dda3,15.0,"Tunis, Cité El Khadra"
Ben arous,500.0,100.0,Tunisie-annonce TN,2853216,5.0,"Tunisie,Ben arous,El Mourouj,El Mourouj"
Ariana,650.0,55.0,Tunisie-annonce TN,2855161,11.818181818181818,"Tunisie,Ariana,Ariana Ville,El Menzah 5"
Beja,100.0,80.0,Tayara TN,89f61220-496e-4031-8dbd-bf17c8032dee,1.25,"Béja, Béja Sud"
Sousse,1500.0,200.0,Tunisie-annonce TN,2861808,7.5,"Tunisie,Sousse,Sousse Ville,Cite Hached"
Nabeul,130.0,60.0,Tunisie-annonce TN,2861813,2.1666666666666665,"Tunisie,Nabeul,Kelibia,Cite Riadh"
Bardo,250.0,120.0,Tayara TN,933d6c30-0ba3-40f4-8bb8-1f6c97953617,2.0833333333333335,"Tunis, Le Bardo"
Ariana,1850.0,260.0,Tunisie-annonce TN,2453588,7.115384615384615,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 1"
Ariana,900.0,120.0,Tunisie-annonce TN,2654115,7.5,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 1"
Ariana,750.0,110.0,Tunisie-annonce TN,2815562,6.818181818181818,"Tunisie,Tunis,El Menzah,El Menzah 9"
Ariana,850.0,110.0,Tunisie-annonce TN,2803456,7.7272727272727275,"Tunisie,Ariana,La Soukra,La Soukra"
Ben arous,420.0,70.0,Tayara TN,7155770d-72b1-4fdd-95db-395cfb1f1fae,6.0,"Ben arous, Radès"
Banlieue Nord,1800.0,120.0,Tunisie-annonce TN,2688405,15.0,"Tunisie,Tunis,La Marsa,Gammart"
Ariana,600.0,100.0,Tunisie-annonce TN,2861839,6.0,"Tunisie,Ariana,Ariana Ville,El Menzah 6"
Nabeul,200.0,50.0,Tunisie-annonce TN,2793669,4.0,"Tunisie,Nabeul,Beni Khiar,El Maamoura"
Nabeul,270.0,140.0,Tunisie-annonce TN,2861836,1.9285714285714286,"Tunisie,Nabeul,Nabeul,Cite Universitaire"
Tunis,550.0,40.0,Tunisie-annonce TN,2856904,13.75,"Tunisie,Tunis,Bab Bhar,Bab Bhar"
Sousse,400.0,3.0,Tayara TN,f7481baa-fc44-4114-a141-afa08e2bbea6,133.33333333333334,"Sousse, Autres villes"
Mannouba,550.0,160.0,Tunisie-annonce TN,2793719,3.4375,"Tunisie,Manouba,Mannouba,La Mannouba"
Nabeul,550.0,75.0,Tunisie-annonce TN,2855150,7.333333333333333,"Tunisie,Nabeul,Nabeul,Cite Universitaire"
Banlieue Nord,500.0,70.0,Tunisie-annonce TN,2812206,7.142857142857143,"Tunisie,Tunis,El Kram,Le Kram Est"
Bizerte,2500.0,1000.0,Tunisie-annonce TN,2825452,2.5,"Tunisie,Bizerte,Bizerte Nord,Bizerte"
Bizerte,400.0,100.0,Tunisie-annonce TN,2829749,4.0,"Tunisie,Bizerte,Bizerte Nord,Bizerte"
Ben arous,520.0,100.0,Tunisie-annonce TN,2860283,5.2,"Tunisie,Ben arous,El Mourouj,El Mourouj"
Nabeul,140.0,80.0,Tunisie-annonce TN,2357798,1.75,"Tunisie,Nabeul,Nabeul,Nabeul"
Mannouba,700.0,130.0,Tunisie-annonce TN,2861825,5.384615384615385,"Tunisie,Manouba,Mannouba,La Mannouba"
Ben arous,550.0,140.0,Tunisie-annonce TN,2861821,3.9285714285714284,"Tunisie,Ben arous,El Mourouj,El Mourouj"
Monastir,700.0,250.0,Tunisie-annonce TN,2861877,2.8,"Tunisie,Monastir,Monastir,Zone Skanes"
Sousse,500.0,110.0,Tayara TN,b1ae6bc8-980b-4a67-98f0-8e7fa77dca12,4.545454545454546,"Sousse, Sahloul"
Nabeul,300.0,180.0,Tunisie-annonce TN,2858897,1.6666666666666667,"Tunisie,Nabeul,Kelibia,Kelibia"
Ben arous,575.0,105.0,Tunisie-annonce TN,2848483,5.476190476190476,"Tunisie,Ben arous,Bou Mhel El Bassatine,Bou Mhel"
Banlieue Nord,1300.0,120.0,Tunisie-annonce TN,2861872,10.833333333333334,"Tunisie,Tunis,La Marsa,Sidi Daoud"
Ben arous,850.0,120.0,Tunisie-annonce TN,2861870,7.083333333333333,"Tunisie,Ben arous,Rades,Chouchet Rades"
Nabeul,400.0,180.0,Tunisie-annonce TN,2837580,2.2222222222222223,"Tunisie,Nabeul,Soliman,Soliman"
Tunis,790.0,120.0,Tunisie-annonce TN,2729210,6.583333333333333,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan"
Ariana,650.0,140.0,Tunisie-annonce TN,2782902,4.642857142857143,"Tunisie,Ariana,Raoued,Cite Ennkhilet"
Ariana,900.0,140.0,Tunisie-annonce TN,2735181,6.428571428571429,"Tunisie,Tunis,El Menzah,El Manar 2"
Tunis,550.0,28.0,Tunisie-annonce TN,2828085,19.642857142857142,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan"
Sousse,90.0,150.0,Tayara TN,c3957039-6546-434b-b914-09f3d1ecd8cc,0.6,"Sousse, Hammam Sousse"
Tunis,800.0,110.0,Tunisie-annonce TN,2861847,7.2727272727272725,"Tunisie,Tunis,Bab Souika,Bab El Khadra"
Sousse,600.0,85.0,Tunisie-annonce TN,2861860,7.0588235294117645,"Tunisie,Sousse,Sousse Ville,Cite Jaouhara"
Ariana,1300.0,150.0,Tunisie-annonce TN,2861856,8.666666666666666,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2"
Monastir,350.0,60.0,Tayara TN,33d7c1ee-1494-47c0-af67-3d780c37502f,5.833333333333333,"Monastir, Autres villes"
Ariana,600.0,10.0,Tunisie-annonce TN,2861855,60.0,"Tunisie,Ariana,Ariana Ville,Riadh Landlous"
Ariana,1300.0,180.0,Tunisie-annonce TN,2846208,7.222222222222222,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2"
Ariana,420.0,70.0,Tunisie-annonce TN,2593401,6.0,"Tunisie,Ariana,La Soukra,La Soukra"
Ariana,595.0,120.0,Tunisie-annonce TN,2593411,4.958333333333333,"Tunisie,Ariana,La Soukra,La Soukra"
Ariana,600.0,70.0,Tayara TN,4047d7cc-c5ed-42eb-8658-5ab32c5a381b,8.571428571428571,"Ariana, Autres villes"
Mannouba,450.0,90.0,Tayara TN,87dd2a5a-66cd-483a-b8cc-f8660acac490,5.0,"La manouba, Oued Ellil"
Cite el khadra,180.0,15.0,Tunisie-annonce TN,2754499,12.0,"Tunisie,Tunis,Cite El Khadra,Cite El Khadra"
Ariana,1100.0,140.0,Tunisie-annonce TN,2861887,7.857142857142857,"Tunisie,Ariana,Mnihla,Jardins d'el Menzah"
Ariana,750.0,130.0,Tunisie-annonce TN,2451059,5.769230769230769,"Tunisie,Ariana,Mnihla,Jardins d'el Menzah"
Ariana,120.0,85.0,Tayara TN,7f39934f-2c5a-481d-af47-df39f9fdd876,1.411764705882353,"Tunis, L'aouina"
Ariana,470.0,80.0,Tunisie-annonce TN,2745599,5.875,"Tunisie,Ariana,Ariana Ville,El Menzah 8"
Banlieue Nord,1500.0,70.0,Tunisie-annonce TN,2834240,21.428571428571427,"Tunisie,Tunis,La Marsa,Gammart"
Ben arous,550.0,100.0,Tunisie-annonce TN,2860839,5.5,"Tunisie,Ben arous,El Mourouj,El Mourouj"
Banlieue Nord,900.0,60.0,Tunisie-annonce TN,2834198,15.0,"Tunisie,Tunis,La Marsa,Cite El Khalil"
Banlieue Nord,650.0,60.0,Tayara TN,794fbecc-8119-465e-b447-5cadfe530355,10.833333333333334,"Tunis, La Marsa"
Nabeul,1000.0,120.0,Tunisie-annonce TN,2527643,8.333333333333334,"Tunisie,Nabeul,Korba,Korba"
Nabeul,380.0,120.0,Tunisie-annonce TN,2738334,3.1666666666666665,"Tunisie,Nabeul,Korba,Korba Hached"
Monastir,300.0,100.0,Tayara TN,0c799d72-a536-431f-a968-678a9671390b,3.0,"Monastir, Monastir"
Nabeul,420.0,140.0,Tunisie-annonce TN,2804380,3.0,"Tunisie,Nabeul,Korba,Korba"
Tunis,450.0,100.0,Tunisie-annonce TN,2861884,4.5,"Tunisie,Tunis,El Omrane Superieur,El Omrane Superieur"
Ariana,850.0,60.0,Tunisie-annonce TN,2831669,14.166666666666666,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2"
Tunis,380.0,90.0,Tunisie-annonce TN,2861883,4.222222222222222,"Tunisie,Tunis,El Ouerdia,El Ouerdia"
Bizerte,250.0,70.0,Tayara TN,545aefc0-90fd-4043-ab77-9c048df7aedb,3.5714285714285716,"Bizerte, Autres villes"
Tunis,700.0,80.0,Tunisie-annonce TN,2846940,8.75,"Tunisie,Tunis,Bab Bhar,Montplaisir"
Ariana,225.0,100.0,Tayara TN,8bd1bdc5-9242-4dbf-8246-8bde59f7417c,2.25,"Ariana, Autres villes"
Banlieue Nord,800.0,90.0,Tunisie-annonce TN,2860355,8.88888888888889,"Tunisie,Tunis,El Kram,Le Kram Est"
Banlieue Nord,2600.0,150.0,Tunisie-annonce TN,2811635,17.333333333333332,"Tunisie,Tunis,Carthage,Sidi Bousaid"
Banlieue Nord,2600.0,150.0,Tunisie-annonce TN,2747628,17.333333333333332,"Tunisie,Tunis,Carthage,Sidi Bousaid"
Ariana,700.0,70.0,Tunisie-annonce TN,2861908,10.0,"Tunisie,Tunis,El Menzah,Cite Caravelles"
Ariana,1500.0,140.0,Tunisie-annonce TN,2861907,10.714285714285714,"Tunisie,Ariana,Ariana Ville,El Menzah 5"
Tunis,183.0,100.0,Tayara TN,5d49823e-ed30-4cec-bdfc-8f85d9244f88,1.83,"Tunis, Autres villes"
Ariana,900.0,220.0,Tunisie-annonce TN,2861904,4.090909090909091,"Tunisie,Ariana,La Soukra,Borj Louzir"
Tunis,300.0,90.0,Tunisie-annonce TN,2861903,3.3333333333333335,"Tunisie,Le Kef,Le Kef Est,Le Kef"
Ben arous,500.0,100.0,Tunisie-annonce TN,2861901,5.0,"Tunisie,Ben arous,Hammam Lif,Cite Boussouffara"
Ariana,600.0,45.0,Tunisie-annonce TN,2861899,13.333333333333334,"Tunisie,Ariana,Mnihla,Jardins d'el Menzah"
Ariana,550.0,100.0,Tunisie-annonce TN,2861679,5.5,"Tunisie,Ariana,Raoued,Cite Ennkhilet"
Ariana,600.0,180.0,Tayara TN,52523b8b-013c-4926-809b-90a114bc6b32,3.3333333333333335,"Tunis, Menzah"
Nabeul,1250.0,120.0,Tunisie-annonce TN,2784801,10.416666666666666,"Tunisie,Nabeul,Hammamet,Hammamet"
Banlieue Nord,10000.0,1500.0,Tunisie-annonce TN,2858879,6.666666666666667,"Tunisie,Tunis,La Marsa,Gammart"
Banlieue Nord,1700.0,80.0,Tunisie-annonce TN,2781864,21.25,"Tunisie,Tunis,La Marsa,Gammart"
Ariana,1000.0,60.0,Tunisie-annonce TN,2850682,16.666666666666668,"Tunisie,Ariana,La Soukra,La Soukra"
Ariana,2500.0,330.0,Tunisie-annonce TN,2861933,7.575757575757576,"Tunisie,Tunis,El Menzah,El Menzah 9"
Banlieue Nord,800.0,100.0,Tunisie-annonce TN,2861932,8.0,"Tunisie,Tunis,La Marsa,El Aouina"
Banlieue Nord,500.0,102.0,Tunisie-annonce TN,2861931,4.901960784313726,"Tunisie,Tunis,La Goulette,Casino La Goulette"
Ben arous,420.0,80.0,Tunisie-annonce TN,2855501,5.25,"Tunisie,Ben arous,Hammam Chatt,Borj Cedria"
Ben arous,550.0,100.0,Tunisie-annonce TN,2855254,5.5,"Tunisie,Ben arous,Bou Mhel El Bassatine,Cite Essalem"
Ben arous,550.0,150.0,Tunisie-annonce TN,2859690,3.6666666666666665,"Tunisie,Ben arous,Hammam Chatt,Borj Cedria"
Ben arous,650.0,80.0,Tunisie-annonce TN,2616265,8.125,"Tunisie,Ben arous,Bou Mhel El Bassatine,Bou Mhel"
Ariana,1150.0,120.0,Tunisie-annonce TN,2861926,9.583333333333334,"Tunisie,Ariana,La Soukra,Cite Elyes"
Sousse,350.0,30.0,Tunisie-annonce TN,2861925,11.666666666666666,"Tunisie,Sousse,Sousse Ville,Cite Hached"
Banlieue Nord,2300.0,220.0,Tunisie-annonce TN,2843885,10.454545454545455,"Tunisie,Tunis,La Marsa,Cite Du Stade"
Sfax,420.0,106.0,Tunisie-annonce TN,2843106,3.9622641509433962,"Tunisie,Sfax,Sfax Ville,Sfax"
Monastir,240.0,35.0,Tunisie-annonce TN,2771514,6.857142857142857,"Tunisie,Monastir,Monastir,Monastir"
Nabeul,400.0,400.0,Tunisie-annonce TN,2801105,1.0,"Tunisie,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz"
Mannouba,220.0,50.0,Tayara TN,ed003023-286a-43e4-95c6-86051541bc41,4.4,"La manouba, Manouba Ville"
Ariana,700.0,150.0,Tunisie-annonce TN,2852546,4.666666666666667,"Tunisie,Ariana,La Soukra,La Soukra"
Sousse,400.0,120.0,Tunisie-annonce TN,2806916,3.3333333333333335,"Tunisie,Sousse,Hammam Sousse,El Kantaoui"
Ariana,450.0,80.0,Tunisie-annonce TN,2847293,5.625,"Tunisie,Ariana,La Soukra,Borj Louzir"
Ben arous,380.0,110.0,Tunisie-annonce TN,2785325,3.4545454545454546,"Tunisie,Ben arous,Ben Arous,Ben Arous"
Ben arous,350.0,110.0,Tunisie-annonce TN,2729763,3.1818181818181817,"Tunisie,Ben arous,Mohamadia,Cite Ennacim 1"
Ariana,1700.0,260.0,Tunisie-annonce TN,2861946,6.538461538461538,"Tunisie,Ariana,Ariana Ville,Riadh Landlous"
Banlieue Nord,1000.0,80.0,Tunisie-annonce TN,2801582,12.5,"Tunisie,Tunis,La Marsa,Cite Du Stade"
Banlieue Nord,2800.0,180.0,Tunisie-annonce TN,2582394,15.555555555555555,"Tunisie,Tunis,La Marsa,Marsa Safsaf"
Ariana,600.0,115.0,Tunisie-annonce TN,2861944,5.217391304347826,"Tunisie,Ariana,Raoued,Cite Ennkhilet"
Banlieue Nord,3000.0,250.0,Tunisie-annonce TN,2860111,12.0,"Tunisie,Tunis,La Marsa,Marsa Safsaf"
Ariana,1100.0,72.0,Tunisie-annonce TN,2837486,15.277777777777779,"Tunisie,Ariana,Ariana Ville,El Menzah 7"
Nabeul,1600.0,2200.0,Tunisie-annonce TN,2837497,0.7272727272727273,"Tunisie,Nabeul,Hammamet,Hammamet"
Mannouba,200.0,140.0,Tunisie-annonce TN,2861942,1.4285714285714286,"Tunisie,Manouba,Mannouba,La Mannouba"
Nabeul,350.0,50.0,Tunisie-annonce TN,2820500,7.0,"Tunisie,Nabeul,Hammamet,Hammamet"
Ariana,350.0,100.0,Tayara TN,1f6b9488-cf33-44b7-951a-b064646c98a7,3.5,"Ariana, Autres villes"
Nabeul,500.0,110.0,Tunisie-annonce TN,2791029,4.545454545454546,"Tunisie,Nabeul,Soliman,Soliman"
Banlieue Nord,2000.0,180.0,Tunisie-annonce TN,2861940,11.11111111111111,"Tunisie,Tunis,Carthage,Sidi Bousaid"
Sfax,900.0,900.0,Tunisie-annonce TN,2334666,1.0,"Tunisie,Sfax,Kerkenah,Chergui"
Nabeul,350.0,200.0,Tunisie-annonce TN,2861961,1.75,"Tunisie,Nabeul,Soliman,Soliman"
Sfax,500.0,110.0,Tunisie-annonce TN,2795140,4.545454545454546,"Tunisie,Sfax,Sfax Sud,Sidi Abbes"
Sfax,580.0,30.0,Tunisie-annonce TN,2729651,19.333333333333332,"Tunisie,Sfax,Sfax Ville,Sfax"
Nabeul,800.0,120.0,Tunisie-annonce TN,2784324,6.666666666666667,"Tunisie,Nabeul,Kelibia,Kelibia"
Nabeul,700.0,300.0,Tunisie-annonce TN,2592043,2.3333333333333335,"Tunisie,Nabeul,Beni Khiar,Beni Khiar"
Banlieue Nord,1700.0,180.0,Tayara TN,9b81bf21-0111-4da2-96b7-d9c782cf9c61,9.444444444444445,"Tunis, La Marsa"
Nabeul,800.0,120.0,Tunisie-annonce TN,2784318,6.666666666666667,"Tunisie,Nabeul,Kelibia,Kelibia"
Nabeul,300.0,80.0,Tunisie-annonce TN,2592055,3.75,"Tunisie,Nabeul,Beni Khiar,Beni Khiar"
Ariana,400.0,40.0,Tunisie-annonce TN,2771063,10.0,"Tunisie,Tunis,El Menzah,Mutuelle Ville"
Ariana,260.0,90.0,Tayara TN,8dabc028-904f-43dd-b1c4-b94c1ad599ed,2.888888888888889,"Tunis, Menzah"
Ariana,550.0,70.0,Tunisie-annonce TN,2569775,7.857142857142857,"Tunisie,Tunis,El Menzah,Mutuelle Ville"
Ariana,1750.0,210.0,Tunisie-annonce TN,2569777,8.333333333333334,"Tunisie,Tunis,El Menzah,Mutuelle Ville"
Sousse,400.0,140.0,Tunisie-annonce TN,2633289,2.857142857142857,"Tunisie,Sousse,Hammam Sousse,El Kantaoui"
Sousse,400.0,120.0,Tunisie-annonce TN,2832576,3.3333333333333335,"Tunisie,Sousse,Hammam Sousse,El Kantaoui"
Ariana,920.0,105.0,Tunisie-annonce TN,2861416,8.761904761904763,"Tunisie,Ariana,Ariana Ville,Riadh Landlous"
Monastir,550.0,75.0,Tayara TN,3273a44a-3244-4726-a76a-82d350491b65,7.333333333333333,"Monastir, Monastir"
Banlieue Nord,150.0,83.0,Tunisie-annonce TN,2861955,1.8072289156626506,"Tunisie,Tunis,Ain Zaghouan,Jardins de Carthage"
Ariana,1200.0,85.0,Tunisie-annonce TN,2846327,14.117647058823529,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2"
Sfax,120.0,12.0,Tayara TN,78b043e3-60d0-49ad-ab21-f1d026e20303,10.0,"Sfax, Sfax Ville"
Banlieue Nord,2200.0,200.0,Tunisie-annonce TN,2837992,11.0,"Tunisie,Tunis,La Marsa,Marsa Safsaf"
Banlieue Nord,2800.0,250.0,Tunisie-annonce TN,2861274,11.2,"Tunisie,Tunis,Carthage,Sidi Bousaid"
