,Unnamed: 0,Extraction_date,Reference,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
20,21,2018-07-16T14:05:33,L-TN-00149075,Appartement,S+1 La Soukra,"La Soukra, La Soukra, Soukra, Ariana",75,m²,1.0,1.0,175000.0,"On met à votre disposition a la vente  un appartement S+1 d'une superficie de 72 m² dans une résidence R+3 sur le boulevard principale à la soukra . L'appartement se compose d'un salon ayant un balcon, une cuisine bien équipée avec séchoir , une chambre à coucher et une salle de bain. l'appartement est muni par un chauffage central et climatisation en Split et une place de parking au sous sol",https://house.jumia.com.tn/s1-la-soukra-149075-29.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
21,23,2018-07-16T14:05:28,L-TN-00133514,Appartement,Bel Appartement,"La Marsa, La Marsa, Tunis et Banlieue Nord",147,m²,1.0,1.0,0.0,"Cet bel appartement très soigné se trouve dans une résidence sécurisée bien entretenu, située à la Marsa Les matériaux utilisés sont de belle qualité (beau choix de carrelage, menuiseries extérieures robustes avec double vitrage, menuiseries intérieures haut de gamme, escalier en marbre...).",https://house.jumia.com.tn/bel-appartement-133514-29.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
22,25,2018-07-16T14:05:21,L-TN-00125951,Appartement,S+3 Mourouj,"Résidence La Colombe 3 Mourouj 5, El Mourouj, Ben Arous - Tunis Sud",129,m²,3.0,2.0,160000.0,"excellente affaire pour jeune couple, famille avec enfants ou investisseur : particulier vend un s+3 très spacieux (titre bleu), très bien orienté (est-ouest), aéré, ensoleillé et très propre. au 3ème et dernier étage d'une résidence très propre (sans ascenseur), escalier facile, résidence gardée par des caméras de surveillance, syndic actif, parking privé avec porte automatique. l'appart est composé d'un bloc de jour et un bloc de nuit séparés. chauffage central. fenêtres et balcons sécurisés par le fer forgé (sécurité pour les petits enfants). prix négociable pour les sérieux.   pour les connaisseurs d'el mourouj l'apprt se situe dans un excellent quartier résidentiel proche de toutes commodités (établissements scolaires, commerces, transport commun, kiosque agil et mg maxi ..) juste derrière salon de thé mahfoudh. bienvenue pour visite sur les lieux.",https://house.jumia.com.tn/s3-mourouj-125951-25.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
23,28,2018-07-16T14:05:15,L-TN-00153593,Appartement,Un Magnifique Appartement À Vendre À Kantaoui Maison De Jardin,"El Kantaoui, Hammam Sousse, Sousse",63,m²,1.0,1.0,270000.0,"A vendre  à Kantaoui  maison de jardin un spacieux appartement de 63 m² meublé  composé d?une chambre à coucher, un salon avec une belle terrasse, une cuisine équipée, une salle de bain et une toilette indépendante. Cet appartement est muni de la climatisation. Prix : 270 000dt",https://house.jumia.com.tn/un-magnifique-appartement-a-vendre-a-kantaoui-maison-de-jardin-153593-29.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
24,30,2018-07-16T14:05:10,L-TN-00163485,Appartement,Appartement S+2 À Hammam Lif,"Hammam Lif, Hammam Lif, Ben Arous - Tunis Sud",100,m²,2.0,1.0,145000.0,"Cet appartement se situe dans un quartier calme et propre et prés de toutes commodités à Hammam lif. Il se compose d'un grand salon avec accès à un balcon, deux chambres à coucher qui partagent une salle de bain et une cuisine aménagée et équipée complété par un séchoir. Des placards dans le couloir, un chauffage central et une place de parking sont disponible.",https://house.jumia.com.tn/appartement-s2-a-hammam-lif-163485-29.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
25,32,2018-07-16T14:05:05,L-TN-00102747,Appartement,Studio Mahdi,"Zone Craxi, Hammamet, Hammamet, Nabeul",,m²,1.0,1.0,120000.0,"Un studio situé à Hammamet Nord zone ""Craxi"", 55 m² de surface. Bien meublé, se compose d'une chambre, une salle de bain, un séjour et une cuisine.   Prix de vente: 120.000DT    Autres détails :  Meubles,   Récepteur",https://house.jumia.com.tn/studio-mahdi-102747-29.html?page=19&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
26,36,2018-07-16T14:04:59,L-TN-00127076,Appartement,Appartement À Boukornin,"Hammam Lif, Hammam Lif, Ben Arous - Tunis Sud",80,m²,2.0,1.0,80000.0,"Cet appartement est situé dans une résidence calme et sécuriser à Boukornine, il est composé d'un spacieux salon lumineux, une cuisine bien aménagée. La partie nuit abrite deux chambres à coucher dont une avec placard partageant une salle de bain commune.",https://house.jumia.com.tn/appartement-a-boukornin-127076-29.html?page=19&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
27,37,2018-07-16T14:04:56,L-TN-00135065,Appartement,Super Appartement Vue Mer,"Tantana, Tantana, Akouda, Sousse",,m²,1.0,1.0,230000.0,"Super appartement haut standing à vendre à tantana chat meriem . Découvrez ce magnifique appartement d'une superficie de 90 m2 destiné à la vente, ce dernier est situé au RDCH d'une résidence (sécurité ,camera...) Emplacement L'appartement est basé à tantana chat meriem , à quelques minutes du kantaoui et proche de tous commerces et services : Transports, Drugstore, Restaurants, etc. Composition - Un Salon, - Un terrasse offrant une vue panoramique, -Deux Chambres à coucher, - Une Salle de bain, - Une cuisine bien équipée Equipements - Climatiseurs , - Chauffages centralisée",https://house.jumia.com.tn/super-appartement-vue-mer-135065-29.html?page=19&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
28,38,2018-07-16T14:04:55,L-TN-00137940,Appartement,Bel Appartement S+3 A L'Aouina - Référence : 20188,"Aouina, Tunis et Banlieue Nord",135,m²,3.0,1.0,235000.0,"A vendre dans une résidence à l'Aouina, un appartement ayant une superficie de 135m², composé de salon et salle à manger bien orienté, trois chambres à coucher avec des placards, une salle de bain et une cuisine équipée avec séchoir, tout l'appartement est chauffé et climatisé.",https://house.jumia.com.tn/bel-appartement-s3-a-laouina-reference-20188-137940-29.html?page=19&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
29,40,2018-07-16T14:04:46,L-TN-00123222,Appartement,A Vendre Un Joli S+3 Dans Une Petite Résidence Au Lac 2,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",152,m²,3.0,2.0,450000.0,"A vendre un joli S+3 idéalement situé au lac 2, dans une résidence bien entretenue. Il est composé d'un salon/salle à manger,une cuisine équipée, 2 chambres à coucher avec salle de bain commune et une suite parentale avec salle de bain privative. L'appartement est bien ensoleillé et il dispose d'une place parking au sous-sol.",https://house.jumia.com.tn/a-vendre-un-joli-s3-dans-une-petite-residence-au-lac-2-123222-29.html?page=19&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
30,41,2018-07-16T14:04:41,L-TN-00160394,Appartement,Vente Duplex Avec Vue Mer À Gammarth,"Gammarth, Gammarth, Tunis et Banlieue Nord",1,m²,1.0,3.0,950000.0,"Nous mettons à la vente ce magnifique duplex jamais habité avec un vaste jardin et piscine donnant sur une vue imprenable sur mer. Il comprend dans sa partie jour un vaste salon, une cuisine équipée et une salle d'eau invités. A l'étage on trouve une suite parentale et une chambre à coucher ainsi qu'une salle de bain. Contact: Hosni Ben Yahmed au , agence 100m², le spécialiste de l'immobilier...",https://house.jumia.com.tn/vente-duplex-avec-vue-mer-a-gammarth-160394-29.html?page=19&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
31,44,2018-07-16T14:04:35,L-TN-00146241,Appartement,A Vendre Un Bel Appartement Vue Sur Lac,"Les Berges du Lac0, Les Berges Du Lac, Tunis et Banlieue Nord",1,m²,1.0,,1500000.0,"Agence Yosra met en vente un appartement de haut standing aux Berges Du Lac ayant une vue dégagée donnant directement sur le lac. L'appartement fait de 300m² comportant un salon spacieux et lumineux, ,une suite parentale, deux chambres à coucher, une salle d'eau, une cuisine moderne, agencée et très bien équipée, une chambre de service et autre une suite avec une entrée indépendante. Deux places de parking au sous-sol sont à la disposition.",https://house.jumia.com.tn/a-vendre-un-bel-appartement-vue-sur-lac-146241-29.html?page=19&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
32,45,2018-07-16T14:04:33,L-TN-00127517,Appartement,Le Bon Investissement : S+2 A Ennasr - A2.3,"Résidence Les Oeillets, Cité Ennasr, Cité Ennasr, Cité Ennasr, Ariana",99,m²,2.0,2.0,258000.0,"La Résidence Les Oeillets vous propose un splendide S+2 avec une place de parking dans un quartier calme, sécurisé et proche de toutes les commoditées. BIEN AGENCÉS, LES APPARTEMENTS S+2 PROPOSENT DES ESPACES INTÉRESSANTS AVEC UN CHOIX DE MATÉRIAUX NOBLES. LES ÉQUIPEMENTS DE QUALITÉ SUR L?ENSEMBLE DES APPARTEMENTS ET NOTAMMENT LES CUISINES AGENCÉES ET ÉQUIPÉES RENDRONT VOS ESPACES AGRÉABLES À VIVRE.",https://house.jumia.com.tn/le-bon-investissement-s2-a-ennasr-a23-127517-29.html?page=19&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
33,48,2018-07-16T14:04:25,L-TN-00132571,Appartement,Appartement S+3 Sur 280 M² Au Lac 1,"lac 1, Les Berges Du Lac 1, Les Berges Du Lac, Tunis et Banlieue Nord",280,m²,3.0,4.0,1500000.0,"Agence Darcom Tunisia met à la vente s+3 spacieux vue sur le lac, situé dans une résidence R+3, seul au palier.  Superficie: 280 m²  Composé comme suit: grand salon avec une terrasse vue sur le lac, salle d'eau, cuisine agencée et équipée (plaque, hotte, four, micro-ondes, réfrigérateur)complétée par un séchoir et chambre de service avec sa propre salle d'eau.  Partie nuit: une suite parentale avec sa propre salle de bain et dressing privé  2 chambres à coucher avec dressing chacune et 1 salle de bain commune  3 places de parking et 1 cellier",https://house.jumia.com.tn/appartement-s3-sur-280-m-au-lac-1-132571-29.html?page=19&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
34,49,2018-07-16T14:04:22,L-TN-00154245,Appartement,Bel Appartement À Borj Louzir,"Borj Louzir, Ariana, Ariana",136,m²,3.0,2.0,257000.0,#Casa Imed# met en vente un appartement sis à Borj Louzir  Un appartement S+3 +cuisine+ salle de bain +abri pour voiture  Superficie :136 m²  Prix : 257000 mille négociable,https://house.jumia.com.tn/bel-appartement-a-borj-louzir-154245-29.html?page=19&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
