Extraction_date,Marketplace,Reference,Status,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
2018-09-03T12:38:39,Jumia TN,L-TN-00161860,A vendre,Appartements,Appartement (S+2) À Sahloul Directe Promoteur,"Rue Hassen Ben Said 4051 khezema ouest sousse., Sahloul, Sousse, Sousse",111,m²,2.0,1.0,244000.0,"Cet appartement (s+2) de 111 m² occupe le sixième étage d'une résidence,gardé et sécurisée,récemment construite en 2017 .  A l'entrée on découvre un salon revêtu du marbre ; Il est lumineux grâce à sa baie vitrée qui donne accès à un balcon  Une cuisine agencée est équipée par des éléments de rangements .elle ouvre sur un séchoir .  Un couloir nous mène à la compartiment nuit qui loge deux chambres à coucher ,une parmi ces chambres bénéficie par un balcon Elles se partagent une salle de bain avec baignoire.  cet appartements profite d'un bon emplacement grâce à sa proximité de toute commodité Transport ,Banques , Restaurant ,Salon de thé , etc  NB: PV de récolement est disponible ,Frais d'enregistrement 1% (directe promoteur)  La place de parking au Sous Sol à 20.000 et équipements :  - porte intérieur et extérieur en bois noble  - revêtements de sol : Marbre italien ,grès cérame antidérapant  - menuiserie aluminium double vitrage .  - volets roulants électriques  - Split climatiseur  - chauffage central  -Faïence de gamme luxueuse  -Sanitaire haute gamme  -Parabole collective  -parking en sous sol  Soyez le bienvenue à notre agence Immobilière NEW WAY(agréée) Nouvelle génération Rue Hassen Ben Said 4051 khezema ouest sousse. Votre Conseiller : ALI ZAÂTIR:  NEW WAY(agréée) Nouvelle génération  Nos services : * Évaluation gratuite  * Visite gratuite * Connaissance détaillé du marché * Conseils juridique et financier * Accompagnement jusqu’a la signature du contrat  CONSEIL & TRANSACTION  NEW WAY(agréée) Nouvelle génération",https://house.jumia.com.tn/appartement-s2-a-sahloul-directe-promoteur-161860-29.html?page=31&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:38:37,Jumia TN,L-TN-00170211,A vendre,Appartements,Joli Appartement À Hergla,"Hergla, Hergla, Sousse",75,m²,1.0,1.0,120000.0,"Dahmen Immobilier met à vendre un spaciaux appartement de typologie S+1 situé à Hergla . L’appartement est de 75 m², occupe le 2 eme étage d’une résidence bien gardée et propre, il est composé d’un vaste salon doté d’un balcon, une chambre à couchers avec des placards avec vue mer, une kitchenette et une salle de bain.  Cet appartement est équipé par un chauffage central, climatiseur,deux balcons, placards, interphone , stores électriques . La résidence est dotée d’un parking privé à l’extérieur, camera de surveillance, ascenseur . •Nos services :  -Visite gratuite  - Accompagnements jusqu'à la signature du contrat . - Conseils juridiques  Soyer le bienvenue cher client à notre agence : Route de la plage, ElMenchia immeuble Panoramis hammam Sousse, ou bien nous contactez sur le numéro affiché, nos agents sont à votre disposition pour toutes informations et conseils nécessaires pour acquérir le bien immobilier qui vous convient.",https://house.jumia.com.tn/joli-appartement-a-hergla-170211-29.html?page=31&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:38:34,Jumia TN,L-TN-00163517,A vendre,Appartements,Bel Appartement  Avec Piscine À Hammamet Sud,"Hammamet Sud, Hammamet, Nabeul",,m²,2.0,1.0,330000.0,Avec #Casa  #imed vous avez la chance d’avoir un appartement en 1er étage dans une résidence bien sécurisé avec piscine  à Hammamet Sud Notre Appartement se caractérise par un emplacement d'exception Dans un quartier résidentiel entourée de toutes les commodités et les loisirs nécessaire (à 400 m de la plage).,https://house.jumia.com.tn/bel-appartement-avec-piscine-a-hammamet-sud-163517-29.html?page=32&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:38:31,Jumia TN,L-TN-00171163,A vendre,Appartements,S+1 De 57 M² Aux Jardins De L Aouina,"Aouina, Aouina, Aouina, Tunis et Banlieue Nord",57,m²,1.0,,110000.0,Cet appartement est situé au sixième étage d'une résidence calme et sécurisée. L'entrée donne sur un salon complété par un balcon. La cuisine est aménagée avec un séchoir. La partie nuit est composé d'une chambre à coucher avec un dressing et une salle d'eau.,https://house.jumia.com.tn/s1-de-57-m-aux-jardins-de-l-aouina-171163-29.html?page=32&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:38:28,Jumia TN,L-TN-00151867,A vendre,Appartements,Luxueux S+2 Aux Jardins Du Lac 2,"Les Berges du Lac0, Les Berges Du Lac, Tunis et Banlieue Nord",1,m²,2.0,1.0,550000.0,apartment a Buy,https://house.jumia.com.tn/luxueux-s2-aux-jardins-du-lac-2-151867-29.html?page=32&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:38:27,Jumia TN,L-TN-00161390,A vendre,Appartements,Appartement Avec Vue Mer À Vendre,"Chott Meriem, Akouda, Sousse",90,m²,2.0,1.0,195000.0,"Dahmen Immobilier annonce pour vous un joli appartement de typologie S+2 situé à chott mariem proche de touts les commodités et deuxième position de la plage.  L’appartement est caractérisé par son emplacement stratégique avec vue mer, occupe le 1 ère étages d’une résidence bien sécurisée muni d’un ascenseur codé.  Il est composé d’un salon, une salle à manger, deux chambres à couchers, une cuisine ouverte bien équipée, une salle de bain et une grande terrasse de 10 m². * Equipements :  - Chauffage centrale  - Climatiseurs - dressing  * Nos services :  - visite gratuite  - accompagnement jusqu'a la signature du contrat  Soyez le bienvenue à notre agence Immobilière : Route de la plage, ElMenchia immeuble Panoramis hammem sousse, ou bien nous contactez, Nos agents sont à votre disposition pour toutes informations et conseils nécessaires pour acquérir le bien immobilier qui vous convient.",https://house.jumia.com.tn/appartement-avec-vue-mer-a-vendre-161390-29.html?page=32&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:38:23,Jumia TN,L-TN-00154880,A vendre,Appartements,Un Appartement S+3 De Luxe,"Nkhilette, Ariana, Ariana, Ariana",104,m²,2.0,1.0,250000.0,"##Casa imed ##vous propose un appartement  à Borj louzir près  mosquée raoudha .  prés de tt commodités (école, boulangerie, superette, stade de foot …)   Cet appartement situé en Rc et il  se  compose de :salon +3 chambres à coucher  +cuisine +salle de bain + salle d’eau + séchoir +terrasse +jardin  Superficie : 120m² Parking : 60 m²  prix : 255 mille  négociable  Référence : AA003 Nous sommes à votre service (même samedi et dimanche ) Visite du bien Par RDV  Pour plus d’informations n’hésitez pas à contactez votre conseillère immobilier  Satisfaction garantie",https://house.jumia.com.tn/un-appartement-s3-de-luxe-154880-29.html?page=32&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:38:20,Jumia TN,L-TN-00149647,A vendre,Appartements,Vente Appartement S+3 À Borj Louzir,"Borj Louzir, La Soukra, Ariana",130,m²,3.0,1.0,225400.0,"Casa imed propose à nos chers clients des appartements luxes avec prix bas.  Nos appartements bâtis avec des matériaux tels que  salon, salle à manger et hall seront revêtus en marbre thala, les chambres et halls seront revêtes en carrelage marbré blanc. Les sols de cuisine, salle d’eau et salle de bain seront revêtus en grés dans la masse, les portes d’entrée seront plaquées en hêtre. Menuiserie en bois (HDF). L’appartement se caractérise par : -sanitaire et robinetterie de 1er choix, cuisine agencé avec éléments, chauffage centrale installe fenêtres et porte en aluminium, parabole collectif, staff décoré, parking à l’intérieur.   Le prix de métre² TTC : 1680 dt  Les superficies disponibles :  •s+3 surface à partir de 128.5 m². •s+1 surface à partir de 60 m².   Prix de place parking 7000 dt Satisfaction garantie",https://house.jumia.com.tn/vente-appartement-s3-a-borj-louzir-149647-29.html?page=32&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:38:17,Jumia TN,L-TN-00133546,A vendre,Appartements,Appartement A Vendre Dans Une Manifique Résidence,"La Soukra, La Soukra, Tunis et Banlieue Nord",85,m²,1.0,1.0,0.0,"A quelques minutes de carrefour, de la Marsa, de Carthage, de Gammarth…. Tout est à notre portée pour vous assurer un investissement sur et une qualité de vie tournée vers un bien etre quotidien. Rangement et confort : Réception d’hôtel et salon d’accueil Cuisine agencée Antennes paraboliques numériques chauffage central ascenseurs doubles « en duplex » Sanitaires et robinetterie de 1er choix Climatiseur en split système.",https://house.jumia.com.tn/appartement-a-vendre-dans-une-manifique-residence-133546-29.html?page=32&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:38:14,Jumia TN,L-TN-00171022,A vendre,Appartements,S+3 De 130 M²- La Corniche,"Mahdia, Mahdia, Mahdia, Mahdia",130,m²,3.0,,225000.0,"Cet appartement est situé dans une résidence front de la mer. La pièce principale, revêtue en marbre blanc, s'ouvre sur une terrasse vue sur mer. La cuisine est équipée par un placard et une plaque encastrée. Elle est complétée par un séchoir exploitable. Un couloir nous mène à la partie nuit, elle abrite trois chambres à coucher qui se partagent une salle d'eau avec douche. L'une des chambres est équipée par un placard. Toutes les pièces bénéficient d'une vue sur mer. Une salle d'eau est disponible pour les invitées. Une place de parking est disponible devant la résidence.",https://house.jumia.com.tn/s3-de-130-m-la-corniche-171022-29.html?page=32&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
