,Unnamed: 0,Extraction_date,Reference,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
1046,2070,2018-07-16T12:36:44,2656100,Appartement,Un magnifique appartement meublé,"Tunisie,Tunis,Ain Zaghouan,Jardins de Carthage",1,m²,4.0,,2000.0,"la croisette agence immobiliere la marsa vous propose   ref al2579    a louer un magnifique appartement s+3 richement meublé aux jardins de carthage dans une petite résidence r+2 très bien sécurisée, le bien est au 2eme et dernier étage, composé comme suit: un joli salon, salle à manger donnant sur un balcon, dressing au couloir, salle d'eau invitées, cuisine équipée, séchoir. partie nuit: une spacieuse suite parentale, deux chambres à coucher et une salle de bain communes. l'appartement est chauffé et climatisé, il dispose aussi de deux place de parking au sous sol",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2656100
1047,2071,2018-07-16T12:36:42,2798222,Maison,1er étage de villa à nouvelle medina,"Tunisie,Ben arous,Nouvelle Medina,Nouvelle Medina",,m²,,,490.0,agence immo met en location un étage de villa (1er étage) pour couple ou jeune mariée fonctionnaire située à nouvelle medina dans un quartier chic et calme proche de toute commodités se compose de 1 spacieux salon+salle à manger+2 chambre à coucher+cuisine équipée avec séchoire + salle de bain  entée indépendnate  gaz de ville + chauffe bain  abri voiture  grand dressing  contacter:29 799 366,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2798222
1048,2073,2018-07-16T12:36:36,2831891,Appartement,Studio meublé beb bhar,"Tunisie,Tunis,Bab Bhar,Bab Bhar",50,m²,1.0,,450.0,"agence immobilière zitounimmob met à votre disposition un studio meublé composé d'une chambre à coucher,cuisine,douche  prix,:450dt  télé:5488517 5  frais de visite 20dt et payement de 5% du prix annuel de location",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831891
1049,2075,2018-07-16T12:36:31,2413056,Appartement,Joli appartement vide ou semi meublé al1528,"Tunisie,Tunis,La Marsa,Cite El Khalil",1,m²,3.0,,1000.0,"la croisette agence immobilière à la marsa vous propose:  ref al1528  a louer un joli appartement vide ou semi-meublé au rez-de-chaussée à la marsa cité el kalil composé d?un salon avec une petite terrasse, une salle d?eau, une cuisine équipée avec séchoir, deux chambres à coucher dont une avec dressing et une salle de bain.  il dispose d?une place de parking au sous sol et un cellier.  l?appartement est chauffé et climatisé.  l?appartement semi-meublé est à 1200dt/mois.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2413056
1050,2076,2018-07-16T12:36:27,2790133,Appartement,Bureaux ou cabinets ou centre medical menzah 5,"Tunisie,Ariana,Ariana Ville,El Menzah 5",40,m²,2.0,,1500.0,"a louer des locaux à usage bureautique font partie d'une résidence toute neuve en r+2 avec ascenseur.    chaque bureau est composé d'une salle de réception, d'une kitchenette et d'une salle d'eau. une pièces avec sa propre salle d'eau est diponible.    les superficies disponibles sont:    premier étage 7 bureaux: 39 m², 35 m², 44 m², 37 m², 30 m², 37 m² et 47 m².dont le m² est a 45 tnd ht / mois.    deuxième étage 6 bureaux: 122 m² a 20 tnd ht / mois.    37 m², 35 m², 43 m², 44 m², 37 m² à 40 tnd ht / mois.    il se situe sur artère principale d'une zone à forte activité commerciale et près de toutes les commodités.    il est doté de la climatisation et chauffage centrale. place de parking est disponible au sous sol.    pour plus d'information veuillez contacter : 26310380",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2790133
1051,2078,2018-07-16T12:36:22,2828269,Appartement,S3  trés chic a manezh 9 c,"Tunisie,Tunis,El Menzah,El Menzah 9",160,m²,3.0,,1100.0,"une bonne opportunité de location d'un joli s+3. l'agence immobilère la clé vous propose un appartement spacieux s+3  a louer d'une résidence très calme et bien sécurisée à manezh 9 c. elle est composée d?un grand salon lumineux avec terrasse, une cuisine équipée d'une plaque, hotte aspirante, four et des éléments de rangements. une suite est deux chambres à coucher avec leurs propres dressings, une salle de bain.  chauffage central et climatiseurs installé.  place parking est réservé au sous-sol.  pour plus d?information veuillez contacter   prix 1100dt  pour plus de renseignement ou visite contacter agence immobilière la clé sur le 94781663  nous sommes disponible de 9h à 16h  soyez les bienvenus..",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2828269
1052,2080,2018-07-16T12:36:18,2814457,Appartement,Appartement coté village méditerranée,"Tunisie,Ben arous,Rades,Village Mediterranee",180,m²,4.0,,440.0,on met pour location un appartement nouvellement reconstruit au 1er étage d'une résidence sécurisé et gardée à rades village méditerranée se compose de 1 salon+3 chambres à coucher+cuisine équipée+salle de bain  place parking disponible  contacter:29 799 366,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2814457
1053,2082,2018-07-16T12:36:11,2784610,Appartement,Etage de villa au rdc   r42,"Tunisie,Tunis,La Marsa,Gammart",240,m²,3.0,,1000.0,"nous vous proposons en location un étage de villa de type s+3 d'une superficie de 240m².   le bien est au rez de chaussée d'une villa situé dans un quartier residentiel au gammarth village à proximité de axe entier avec une orientation est.   l'appartement comprends ss , une salle à manger , 1 séjour , une cuisine equipee , 3 chambres à coucher, 1 salle de bain et 1 salle d'eau. les dépendances comprennent une chambre de bonne.   disponible immédiatement.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2784610
1054,2085,2018-07-16T12:36:06,2779766,Appartement,Bel appartement  r 31,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan",190,m²,3.0,,1200.0,"nous vous proposons en location un étage de villa de type s+3 d'une superficie de 190m².   le bien est en 1er étage d'une villa situé dans un quartier securise au ain zaghouen nord avec une orientation est.   l'appartement comprends 1 salon , une cuisine equipee , 3 chambres à coucher, 2 salles de bain .   disponible immédiatement.   pour de plus amples informations contactez le 58.58.40.45.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2779766
1056,2089,2018-07-16T12:35:58,2826847,Appartement,S1 meublé pied dans l'eau,"Tunisie,Tunis,La Goulette,Kheireddine",60,m²,2.0,,900.0,"agence la familia vous propose à la location:    cet appartement richement meublé est situé au première étage d'une résidence pied dans l'eau dans un quartier très calme et sécurisé.    il est composé d'un salon, une chambre à coucher, une cuisine totalement équipée et une salle d'eau avec douche.     il bénéficie d'une très belle vue sur mer et sur le canal de kheireddine à partir de la toiture terrasse réservé uniquement à cet appartement.    climatiseur disponible    prix: 900 dt/ mois (location annuelle)  - location été : 100 dt/ jour , 600 dt/ semaine et 2000 dt/ mois    location pour couple avec bébé maximum    pour plus d'informations veuillez contacter atef jemiai aicha cherif? au 20 171 131 ou 50 568 000",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2826847
