Country,Price,Size,Marketplace,Reference,Moy_prix_by_size,Address
Tunis,800.0,123.0,Tunisie-annonce TN,2827500,6.504065040650406,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan"
Mannouba,250.0,170.0,Tunisie-annonce TN,2804025,1.4705882352941178,"Tunisie,Manouba,Mannouba,La Mannouba"
Nabeul,800.0,76.0,Tunisie-annonce TN,2671550,10.526315789473685,"Tunisie,Nabeul,Nabeul,Cite El Mahrsi 1"
Ben arous,500.0,200.0,Tunisie-annonce TN,2828416,2.5,"Tunisie,Ben arous,El Mourouj,Cite Ennarjes 1"
Banlieue Nord,1200.0,230.0,Tunisie-annonce TN,2832037,5.217391304347826,"Tunisie,Tunis,La Marsa,El Aouina"
Banlieue Nord,800.0,100.0,Tunisie-annonce TN,2830978,8.0,"Tunisie,Tunis,Carthage,Cite Mohamed Ali"
Tunis,1200.0,100.0,Tunisie-annonce TN,2810522,12.0,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan"
Banlieue Nord,950.0,75.0,Tunisie-annonce TN,2821459,12.666666666666666,"Tunisie,Tunis,La Marsa,Cite El Khalil"
Tunis,700.0,70.0,Tunisie-annonce TN,2802780,10.0,"Tunisie,Tunis,El Omrane,El Omrane"
Banlieue Nord,1200.0,350.0,Tunisie-annonce TN,2819872,3.4285714285714284,"Tunisie,Tunis,La Marsa,Cite Du Stade"
Ariana,1100.0,200.0,Tunisie-annonce TN,2757481,5.5,"Tunisie,Ariana,Ariana Ville,El Menzah 6"
Cite el khadra,1200.0,140.0,Tunisie-annonce TN,2779327,8.571428571428571,"Tunisie,Tunis,Cite El Khadra,Cite El Khadra"
Banlieue Nord,8000.0,750.0,Tunisie-annonce TN,2653870,10.666666666666666,"Tunisie,Tunis,Carthage,Salambo"
Ariana,1500.0,100.0,Tunisie-annonce TN,2512726,15.0,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 1"
Banlieue Nord,2200.0,180.0,Tunisie-annonce TN,2832045,12.222222222222221,"Tunisie,Tunis,La Marsa,Berge Du Lac"
Banlieue Nord,6000.0,1000.0,Tunisie-annonce TN,2796685,6.0,"Tunisie,Tunis,Ain Zaghouan,Jardins de Carthage"
Ben arous,1200.0,500.0,Tunisie-annonce TN,2797235,2.4,"Tunisie,Ben arous,Ezzahra,Ezzahra"
Ariana,1200.0,110.0,Tunisie-annonce TN,2815195,10.909090909090908,"Tunisie,Ariana,La Soukra,La Soukra"
Bardo,4000.0,900.0,Tunisie-annonce TN,2118640,4.444444444444445,"Tunisie,Tunis,Le Bardo,Ksar Said"
Banlieue Nord,2700.0,170.0,Tunisie-annonce TN,2815974,15.882352941176471,"Tunisie,Tunis,La Marsa,Berge Du Lac"
Ben arous,625.0,100.0,Tunisie-annonce TN,2832051,6.25,"Tunisie,Ben arous,Bou Mhel El Bassatine,Bou Mhel"
Tunis,450.0,110.0,Tunisie-annonce TN,2816811,4.090909090909091,"Tunisie,Tunis,Sidi El Bechir,Sidi El Bechir"
Tunis,1400.0,140.0,Tunisie-annonce TN,2753815,10.0,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan"
Banlieue Nord,2600.0,130.0,Tunisie-annonce TN,2832049,20.0,"Tunisie,Tunis,Carthage,Sidi Bousaid"
Banlieue Nord,850.0,130.0,Tunisie-annonce TN,2826282,6.538461538461538,"Tunisie,Tunis,La Marsa,El Aouina"
Banlieue Nord,950.0,130.0,Tunisie-annonce TN,2825510,7.3076923076923075,"Tunisie,Tunis,La Marsa,El Aouina"
