Country,Price,Size,Status,Marketplace,Reference,Moy_prix_by_size,Address
Ariana,272000.0,129.0,V,Jumia TN,L-TN-00156925,2108.5271317829456,"Borj Louzir, La Soukra, Ariana"
Sousse,160000.0,122.0,V,Jumia TN,L-TN-00171434,1311.4754098360656,"Rue Hassen Ben Said 4051 khezema ouest sousse., Sousse Riadh, Sousse Riadh, Sousse"
Nabeul,262000.0,135.0,V,Jumia TN,L-TN-00153609,1940.7407407407406,"Cité El Mrezga Sur la Route Mc 28 (En Face Clinique les Violettes), Hammamet Nord, Hammamet, Nabeul"
Nabeul,400.0,400.0,L,Tunisie-annonce TN,2801105,1.0,"Tunisie,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz"
Banlieue Nord,400000.0,152.0,V,Jumia TN,L-TN-00154081,2631.5789473684213,"Lotissement les Résidences Du Parc, Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord, Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord, Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Mannouba,220.0,50.0,L,Tayara TN,ed003023-286a-43e4-95c6-86051541bc41,4.4,"La manouba, Manouba Ville"
Ariana,700.0,150.0,L,Tunisie-annonce TN,2852546,4.666666666666667,"Tunisie,Ariana,La Soukra,La Soukra"
Banlieue Nord,720000.0,180.0,V,Jumia TN,L-TN-00172320,4000.0,"Gammarth, Gammarth, Tunis et Banlieue Nord"
Nabeul,212000.0,106.0,V,Jumia TN,L-TN-00122179,2000.0,"Hammamet Sud, Hammamet, Nabeul"
Nabeul,260000.0,125.0,V,Jumia TN,L-TN-00167125,2080.0,"Hammamet, Hammamet, Nabeul"
Nabeul,250000.0,127.0,V,Jumia TN,L-TN-00160727,1968.5039370078741,"Hammamet Nord, Hammamet, Nabeul"
Sousse,400.0,120.0,L,Tunisie-annonce TN,2806916,3.3333333333333335,"Tunisie,Sousse,Hammam Sousse,El Kantaoui"
Ariana,450.0,80.0,L,Tunisie-annonce TN,2847293,5.625,"Tunisie,Ariana,La Soukra,Borj Louzir"
Ben arous,380.0,110.0,L,Tunisie-annonce TN,2785325,3.4545454545454546,"Tunisie,Ben arous,Ben Arous,Ben Arous"
Sousse,340000.0,100.0,V,Jumia TN,L-TN-00110384,3400.0,"Chott Meriem, Akouda, Sousse"
Ben arous,350.0,110.0,L,Tunisie-annonce TN,2729763,3.1818181818181817,"Tunisie,Ben arous,Mohamadia,Cite Ennacim 1"
Les Berges du Lac,378000.0,151.0,V,Jumia TN,L-TN-00158123,2503.3112582781455,"Les Berges Du Lac, Tunis et Banlieue Nord"
Ariana,1700.0,260.0,L,Tunisie-annonce TN,2861946,6.538461538461538,"Tunisie,Ariana,Ariana Ville,Riadh Landlous"
Banlieue Nord,1000.0,80.0,L,Tunisie-annonce TN,2801582,12.5,"Tunisie,Tunis,La Marsa,Cite Du Stade"
Les Berges du Lac,3500.0,2.0,V,Jumia TN,L-TN-00127616,1750.0,"Les Berges du Lac, Les Berges Du Lac, Tunis et Banlieue Nord"
Banlieue Nord,2800.0,180.0,L,Tunisie-annonce TN,2582394,15.555555555555555,"Tunisie,Tunis,La Marsa,Marsa Safsaf"
Ariana,265000.0,133.0,V,Jumia TN,L-TN-00173720,1992.4812030075188,"Riadh el Andalous, Riadh el Andalous, Ariana"
Ariana,600.0,115.0,L,Tunisie-annonce TN,2861944,5.217391304347826,"Tunisie,Ariana,Raoued,Cite Ennkhilet"
Banlieue Nord,2500.0,235.0,V,Jumia TN,L-TN-00146602,10.638297872340425,"ENNASR 2, ENNASR 2, Tunis et Banlieue Nord"
Banlieue Nord,3000.0,250.0,L,Tunisie-annonce TN,2860111,12.0,"Tunisie,Tunis,La Marsa,Marsa Safsaf"
Banlieue Nord,650000.0,2.0,V,Jumia TN,L-TN-00150533,325000.0,"Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Ariana,500000.0,232.0,V,Jumia TN,L-TN-00149793,2155.1724137931033,"La Soukra, La Soukra, Ariana"
Banlieue Nord,485000.0,2.0,V,Jumia TN,L-TN-00132070,242500.0,"Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Ariana,1100.0,72.0,L,Tunisie-annonce TN,2837486,15.277777777777779,"Tunisie,Ariana,Ariana Ville,El Menzah 7"
Ariana,359520.0,171.0,V,Jumia TN,L-TN-00132317,2102.4561403508774,"Cité Ennasr, Cité Ennasr, Ariana"
Sousse,168000.0,130.0,V,Jumia TN,L-TN-00156932,1292.3076923076924,"Rue Hassen Ben Said 4051 khezema ouest sousse., Hammam Sousse, Hammam Sousse, Sousse"
Nabeul,1600.0,2200.0,L,Tunisie-annonce TN,2837497,0.7272727272727273,"Tunisie,Nabeul,Hammamet,Hammamet"
Mannouba,200.0,140.0,L,Tunisie-annonce TN,2861942,1.4285714285714286,"Tunisie,Manouba,Mannouba,La Mannouba"
Nabeul,350.0,50.0,L,Tunisie-annonce TN,2820500,7.0,"Tunisie,Nabeul,Hammamet,Hammamet"
Djerba,170000.0,80.0,V,Jumia TN,L-TN-00060856,2125.0,"Houmt Souk, Houmt Souk, Djerba"
Ariana,350.0,100.0,L,Tayara TN,1f6b9488-cf33-44b7-951a-b064646c98a7,3.5,"Ariana, Autres villes"
Sousse,170000.0,103.0,V,Jumia TN,L-TN-00142160,1650.485436893204,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Sousse Medina, Sousse, Sousse"
Banlieue Nord,530000.0,177.0,V,Jumia TN,L-TN-00120925,2994.3502824858756,"Sidi Daoud, La Marsa, Tunis et Banlieue Nord"
Nabeul,500.0,110.0,L,Tunisie-annonce TN,2791029,4.545454545454546,"Tunisie,Nabeul,Soliman,Soliman"
